Rank,Release,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
16,Spider-Man: Homecoming,"$334,201,140 ","4,348","$117,027,503 ","4,348",2017-07-07,Sony Pictures Entertainment (SPE)
66,Inhumans,"$1,521,787 ",393,"$1,135,440 ",393,2017-09-01,IMAX
20,Thor: Ragnarok,"$315,058,289 ","4,080","$122,744,989 ","4,080",2017-11-03,Walt Disney Studios Motion Pictures
3,Black Panther,"$700,059,566 ","4,084","$202,003,951 ","4,020",2018-02-16,Walt Disney Studios Motion Pictures
4,Avengers: Infinity War,"$678,815,482 ","4,474","$257,698,183 ","4,474",2018-04-27,Walt Disney Studios Motion Pictures
19,Deadpool 2,"$318,491,426 ","4,349","$125,507,153 ","4,349",2018-05-18,Twentieth Century Fox
30,Ant-Man and the Wasp,"$216,648,740 ","4,206","$75,812,205 ","4,206",2018-07-06,Walt Disney Studios Motion Pictures
33,Venom,"$213,515,506 ","4,250","$80,255,756 ","4,250",2018-10-05,Sony Pictures Entertainment (SPE)
65,Once Upon a Deadpool,"$6,100,309 ","1,566","$2,683,200 ","1,566",2018-12-12,Twentieth Century Fox
36,Spider-Man: Into the Spider-Verse,"$190,241,310 ","3,813","$35,363,376 ","3,813",2018-12-14,Sony Pictures Entertainment (SPE)
7,Captain Marvel,"$426,829,839 ","4,310","$153,433,423 ","4,310",2019-03-08,Walt Disney Studios Motion Pictures
1,Avengers: Endgame,"$858,373,000 ","4,662","$357,115,007 ","4,662",2019-04-26,Walt Disney Studios Motion Pictures
55,X-Men: Dark Phoenix,"$65,845,974 ","3,721","$32,828,348 ","3,721",2019-06-07,Twentieth Century Fox
11,Spider-Man: Far from Home,"$390,532,085 ","4,634","$92,579,212 ","4,634",2019-07-02,Sony Pictures Entertainment (SPE)
69,Black Panther,"$367,000 ",421,"$367,000 ",421,2020-07-10,Walt Disney Pictures
68,Iron Man,"$430,000 ",462,"$430,000 ",462,2020-07-17,Walt Disney Pictures
61,The New Mutants,"$23,852,659 ","2,754","$7,037,017 ","2,412",2020-08-28,20th Century Studios
67,Guardians of the Galaxy,"$542,000 ","1,560","$406,000 ","1,560",2020-11-13,Walt Disney Studios Motion Pictures
37,Black Widow,"$183,651,655 ","4,275","$80,366,312 ","4,160",2021-07-09,Walt Disney Studios Motion Pictures
28,Shang-Chi and the Legend of the Ten Rings,"$224,543,292 ","4,300","$75,388,688 ","4,300",2021-09-03,Walt Disney Studios Motion Pictures
32,Venom: Let There Be Carnage,"$213,550,366 ","4,225","$90,033,210 ","4,225",2021-10-01,Sony Pictures Entertainment (SPE)
42,Eternals,"$164,870,234 ","4,090","$71,297,219 ","4,090",2021-11-05,Walt Disney Studios Motion Pictures
2,Spider-Man: No Way Home,"$759,372,547 ","4,336","$260,138,569 ","4,336",2021-12-17,Sony Pictures Entertainment (SPE)
